id_cliente,sexo,fecha_nacimiento,edad_corte,tipo_disposicion,etiqueta_buen_pagador,id_distrito,nombre_distrito,region,poblacion,salario_promedio,tasa_desempleo,tasa_criminalidad,tiene_prestamo,id_prestamo,monto_prestamo,plazo_prestamo,cuota_mensual_prestamo,estado_prestamo,condicion_prestamo,total_ordenes_activas,monto_total_ordenes_mensual,monto_promedio_orden,total_transacciones,total_depositos,total_retiros,saldo_promedio,saldo_minimo,saldo_maximo
1,F,1970-12-13,28,OWNER,,18,Pisek,south Bohemia,70699,8968.0,3.0,1740.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2452.0,2452.0,239,194322.0,180870.0,15994.079497,1000.0,30415.0
2,M,1945-02-04,53,OWNER,True,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,1,4959.0,80952.0,24.0,3373.0,A,Cerrado,2,10639.0,5319.5,478,1597055.0,1554459.0,36540.780334,1100.0,69302.0
3,F,1940-10-09,58,DISPONENT,True,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
4,M,1956-12-01,42,OWNER,,5,Kolin,central Bohemia,95616,9307.0,4.0,2616.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,5001.0,1667.0,117,173062.0,121968.0,26973.529914,1000.0,53447.0
5,F,1960-07-03,38,DISPONENT,,5,Kolin,central Bohemia,95616,9307.0,4.0,2616.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
6,M,1919-09-22,79,OWNER,,12,Pribram,central Bohemia,107870,8754.0,4.0,3804.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,3363.0,1681.5,186,192349.0,158637.0,21753.526881,800.0,34870.0
7,M,1929-01-25,69,OWNER,,15,Cesky Krumlov,south Bohemia,58796,9045.0,3.0,1845.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2668.0,2668.0,84,97489.0,69402.0,25090.023809,600.0,32036.0
8,F,1938-02-21,60,OWNER,,51,Trutnov,east Bohemia,121947,8541.0,3.0,3496.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3954.0,3954.0,246,347616.0,299968.0,34547.353658,900.0,51879.0
9,M,1935-10-16,63,OWNER,,60,Prostejov,south Moravia,110643,8441.0,3.0,1879.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4880.0,4880.0,130,630267.0,561780.0,62598.6,900.0,99675.0
10,M,1943-05-01,55,OWNER,,57,Hodonin,south Moravia,161954,8720.0,4.0,3729.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,9324.0,4662.0,254,892765.0,820158.0,46819.429133,900.0,79255.0
11,F,1950-08-22,48,DISPONENT,,57,Hodonin,south Moravia,161954,8720.0,4.0,3729.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
12,M,1981-02-20,17,OWNER,,40,Teplice,north Bohemia,128118,9317.0,6.0,6949.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,361,360153.0,336305.0,26625.307479,400.0,85444.0
