id_prestamo,fecha_otorgamiento,anio_otorgamiento,mes_otorgamiento,id_cliente,sexo_cliente,edad_cliente,tipo_disposicion,id_cuenta,frecuencia_emision_estado,id_distrito,nombre_distrito,region,poblacion_distrito,salario_distrito,desempleo_distrito,crimen_distrito,estado_prestamo,condicion_prestamo,descripcion_estado,monto_prestamo,plazo_meses,pago_mensual,saldo_pendiente_estimado
4959,1994-01-05,1994,1,2,M,53,OWNER,2,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,A,Cerrado,Pagado sin problemas,80952.0,24,3373.0,0.0
4961,1996-04-29,1996,4,25,F,59,OWNER,19,POPLATEK MESICNE,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,B,Cerrado,"Pagado, contrato terminado con deuda",30276.0,12,2523.0,30276.0
4962,1997-12-08,1997,12,31,M,36,OWNER,25,POPLATEK MESICNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,A,Cerrado,Pagado sin problemas,30276.0,12,2523.0,0.0
4967,1998-10-14,1998,10,45,M,46,OWNER,37,POPLATEK MESICNE,20,Strakonice,south Bohemia,70646,8547.0,3.0,1563.0,D,Vigente,"En curso, en mora",318480.0,60,5308.0,318480.0
4968,1998-04-19,1998,4,46,F,58,OWNER,38,POPLATEK TYDNE,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,C,Vigente,"En curso, al dia",110736.0,48,2307.0,110736.0
4973,1996-05-02,1996,5,78,F,54,OWNER,67,POPLATEK MESICNE,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,A,Cerrado,Pagado sin problemas,165960.0,24,6915.0,0.0
4986,1997-08-10,1997,8,116,M,56,OWNER,97,POPLATEK MESICNE,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,A,Cerrado,Pagado sin problemas,102876.0,12,8573.0,0.0
4988,1997-12-06,1997,12,124,M,31,OWNER,103,POPLATEK MESICNE,44,Chrudim,east Bohemia,105606,8254.0,3.0,2166.0,D,Vigente,"En curso, en mora",265320.0,36,7370.0,265320.0
4989,1998-12-05,1998,12,127,F,48,OWNER,105,POPLATEK MESICNE,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,C,Vigente,"En curso, al dia",352704.0,48,7348.0,352704.0
4990,1997-09-08,1997,9,132,M,45,OWNER,110,POPLATEK MESICNE,36,Liberec,north Bohemia,159617,9198.0,3.0,5796.0,C,Vigente,"En curso, al dia",162576.0,36,4516.0,162576.0
4996,1996-11-06,1996,11,158,F,53,OWNER,132,POPLATEK PO OBRATU,40,Teplice,north Bohemia,128118,9317.0,6.0,6949.0,A,Cerrado,Pagado sin problemas,88440.0,12,7370.0,0.0
5002,1994-05-31,1994,5,210,M,59,OWNER,173,POPLATEK MESICNE,66,Zdar nad Sazavou,south Moravia,125832,8512.0,4.0,2247.0,A,Cerrado,Pagado sin problemas,104808.0,12,8734.0,0.0
5005,1997-04-10,1997,4,215,M,31,OWNER,176,POPLATEK TYDNE,71,Novy Jicin,north Moravia,161227,8678.0,6.0,4980.0,A,Cerrado,Pagado sin problemas,27456.0,12,2288.0,0.0
5015,1998-07-12,1998,7,272,F,54,OWNER,226,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,C,Vigente,"En curso, al dia",109344.0,12,9112.0,109344.0
5027,1998-12-02,1998,12,333,M,27,OWNER,276,POPLATEK MESICNE,38,Louny,north Bohemia,85852,8965.0,7.0,2653.0,C,Vigente,"En curso, al dia",160920.0,36,4470.0,160920.0
5032,1994-11-03,1994,11,352,M,58,OWNER,290,POPLATEK MESICNE,56,Breclav,south Moravia,124605,8772.0,5.0,2854.0,A,Cerrado,Pagado sin problemas,123696.0,48,2577.0,0.0
5034,1998-05-30,1998,5,370,F,42,OWNER,303,POPLATEK MESICNE,71,Novy Jicin,north Moravia,161227,8678.0,6.0,4980.0,C,Vigente,"En curso, al dia",112752.0,36,3132.0,112752.0
5036,1998-11-25,1998,11,376,F,25,OWNER,309,POPLATEK MESICNE,14,Ceske Budejovice,south Bohemia,177686,10045.0,1.0,6604.0,C,Vigente,"En curso, al dia",91248.0,48,1901.0,91248.0
